seed,score,rain_events,rain_count,turn_rain_counts,shock_2050_2055,shock_2065_2075,shock_2080_2100,rain_count_good,rain_counts_increase,no_policy_severe,neglect_or_agri_severe,balanced_avoids_severe,hard_less_than_no_policy,resident_prompt_no_policy,housing_prompt_no_policy,balanced_no_resident_prompt,relocation_no_resident_prompt,rnd_delays_crop,infra_ecosystem_worse
257,160,"[[2031, 159.72674422660367], [2032, 276.2946299497038], [2035, 187.5664601908112], [2036, 179.23861059072985], [2042, 154.00822697307194], [2043, 231.78225579841737], [2051, 191.30152534803995], [2055, 167.51177744923024], [2058, 182.84930672050754], [2059, 141.98817929309322], [2066, 223.22651593329286], [2068, 193.97748357208334], [2075, 247.41299235144174], [2081, 184.08863656418538], [2082, 223.21723521377686], [2083, 205.23292144207358], [2084, 162.78147188061936], [2088, 155.1924946949938], [2094, 210.3878739513363], [2095, 172.17038280529013], [2097, 218.1787440201957], [2100, 204.65798233014488]]",22,"[6, 7, 9]",False,True,True,False,True,True,True,False,True,True,True,True,True,True,True
274,160,"[[2026, 230.28624015384062], [2034, 190.97939803871859], [2041, 182.76903505863717], [2042, 143.05728982585663], [2051, 193.590124339415], [2058, 245.56584842102004], [2064, 183.9776792663204], [2065, 222.04627642724694], [2066, 204.5503304778529], [2067, 163.24652064280872], [2078, 172.37821783678032], [2080, 217.16845481886074], [2083, 191.72523974392598], [2088, 198.47615998058345], [2091, 163.13134930002875], [2093, 159.28001304447073], [2098, 148.78762565712262]]",17,"[4, 6, 7]",False,True,False,False,True,True,True,False,True,True,True,True,True,True,True
342,160,"[[2030, 152.08626912675174], [2050, 171.11320937466533], [2058, 220.10633011339934], [2059, 149.11079815541805], [2064, 180.88532480037176], [2077, 166.5129373229642], [2078, 234.76442053955483], [2091, 175.29333717730378], [2095, 204.9249202789202], [2098, 171.6178901742438], [2100, 176.66259962441669]]",11,"[2, 3, 6]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
343,160,"[[2029, 152.13477858954042], [2049, 171.1281344069056], [2057, 220.03986602466975], [2058, 149.16190295638995], [2063, 180.88387208738473], [2076, 166.53460577344373], [2077, 234.67657660193407], [2090, 175.30073260710375], [2094, 204.88600115289915], [2097, 171.63091743196588], [2099, 176.6677704527985]]",11,"[2, 3, 6]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
344,160,"[[2028, 152.1832880523291], [2048, 171.14305943914582], [2056, 219.97340193594016], [2057, 149.21300775736182], [2062, 180.88241937439773], [2075, 166.55627422392325], [2076, 234.58873266431334], [2089, 175.30812803690372], [2093, 204.8470820268781], [2096, 171.64394468968797], [2098, 176.67294128118033], [2100, 188.29747845908594]]",12,"[2, 4, 6]",False,False,False,True,True,True,True,True,True,False,False,True,True,True,True
362,160,"[[2030, 191.32523168237665], [2038, 218.7770483388075], [2039, 150.1328941748559], [2044, 180.85627054063147], [2057, 166.94630633255454], [2058, 233.00754178714016], [2071, 175.44124577330322], [2075, 204.14653775849888], [2078, 171.87843532868558], [2080, 176.76601619205317], [2082, 188.06607467735844], [2084, 179.07987143939025], [2086, 224.98062452505758], [2087, 182.96285278872475], [2091, 161.78309758929416], [2099, 148.61671427816714]]",16,"[4, 4, 8]",False,False,True,False,True,True,True,True,True,False,False,True,True,True,True
368,160,"[[2032, 218.37826380642994], [2033, 150.43952298068723], [2038, 180.8475542627094], [2051, 167.07631703543163], [2052, 232.48047816141573], [2065, 175.48561835210305], [2069, 203.91302300237248], [2072, 171.95659887501813], [2076, 187.98894008344928], [2078, 179.08864252417135], [2080, 224.5532068259507], [2081, 182.93474350091665], [2085, 161.95483943020315], [2093, 148.90891068701595], [2100, 228.41647650677288]]",15,"[3, 5, 7]",False,False,True,False,True,True,True,True,True,False,False,True,True,True,True
373,160,"[[2027, 218.045943362782], [2028, 150.6950469855467], [2033, 180.84029069777432], [2046, 167.18465928782922], [2047, 232.04125847331207], [2060, 175.5225955011029], [2064, 203.71842737226717], [2067, 172.0217351636286], [2071, 187.92466125519167], [2073, 179.09595176148895], [2075, 224.1970254100283], [2076, 182.91131909440992], [2080, 162.09795763096068], [2088, 149.15240769438995], [2095, 228.04140420094353]]",15,"[5, 6, 4]",False,True,True,False,False,True,True,True,True,False,False,True,True,True,True
480,160,"[[2035, 186.89999053349783], [2041, 219.2586463998585], [2043, 208.61209313642456], [2065, 169.2747570199778], [2071, 217.51280286264586], [2073, 166.3429995616241], [2077, 191.75781528557076], [2082, 184.84165073826915], [2086, 261.16212467461287], [2091, 201.35227362992663], [2095, 172.67536433966683], [2097, 171.2143916551951]]",12,"[3, 3, 6]",False,True,True,True,True,True,True,False,True,False,False,True,True,False,True
557,160,"[[2036, 221.1884746964984], [2038, 201.47202882464978], [2039, 185.5502004410819], [2069, 148.2723030028145], [2075, 259.9523108941568], [2078, 204.7888891629806], [2082, 246.2629427748751], [2085, 166.8327839992293], [2087, 224.09335724507673], [2092, 155.34690833857675], [2099, 181.14640747591002]]",11,"[3, 2, 6]",False,True,True,True,False,True,True,False,True,True,True,True,True,True,True
558,160,"[[2035, 221.11763456802777], [2037, 201.435225641062], [2038, 185.54070364247823], [2068, 148.32394073333774], [2074, 259.8234446320663], [2077, 204.749126966798], [2081, 246.1573324380299], [2084, 166.85367013383282], [2086, 224.0236365537021], [2091, 155.38558418833696], [2098, 181.14462852394118]]",11,"[3, 2, 6]",False,True,True,True,False,True,True,False,True,True,True,True,True,True,True
559,160,"[[2034, 221.04679443955712], [2036, 201.3984224574742], [2037, 185.5312068438746], [2067, 148.37557846386093], [2073, 259.69457836997583], [2076, 204.7093647706154], [2080, 246.05172210118468], [2083, 166.87455626843638], [2085, 223.95391586232745], [2090, 155.42426003809715], [2097, 181.14284957197236]]",11,"[3, 2, 6]",False,True,True,True,False,True,True,False,True,True,True,True,True,True,True
765,160,"[[2041, 160.64415690234716], [2047, 180.48999993462903], [2048, 226.5414518219138], [2050, 148.447609159693], [2062, 198.81630314242778], [2067, 235.6427144690321], [2076, 207.9650911610973], [2077, 175.52652687686563], [2083, 169.46353318459214], [2084, 201.08432236335008], [2087, 186.09075847387203], [2090, 178.91812176879682], [2091, 194.2988764790798], [2096, 262.6304336626872]]",14,"[4, 2, 8]",False,True,True,True,False,True,True,False,True,True,True,True,True,True,True
855,160,"[[2029, 218.09377994831937], [2045, 190.91980403252012], [2058, 177.7696050785679], [2062, 192.069009818266], [2067, 185.7186276040598], [2074, 155.10832800666708], [2077, 227.3356294335832], [2078, 210.315977759754], [2084, 269.10679544888444], [2085, 182.80808140562843], [2087, 194.20330005304731], [2088, 240.3686681142472], [2090, 165.73059285780317], [2099, 164.91414521144054], [2100, 178.28892738588672]]",15,"[2, 4, 9]",False,False,True,False,True,True,True,True,True,False,False,True,True,True,True
856,160,"[[2028, 218.02746399217955], [2044, 190.90130932450472], [2057, 177.77330128227294], [2061, 192.04914079928017], [2066, 185.7092899802603], [2073, 155.14851290149025], [2076, 227.2595795354801], [2077, 210.26734993108343], [2083, 268.96522768489393], [2084, 182.8036271636526], [2086, 194.1808417064534], [2087, 240.27336349611465], [2089, 165.75304920897122], [2098, 164.93755487304992], [2099, 178.29157845014055]]",15,"[2, 4, 9]",False,False,True,False,True,True,True,True,True,False,False,True,True,True,True
54,155,"[[2033, 231.27860028697012], [2043, 203.15408829382008], [2050, 215.1831114063879], [2052, 170.79827633620982], [2056, 168.20729433331212], [2065, 190.25025765979578], [2069, 178.67007354731322], [2078, 221.1961257673946], [2080, 193.97217885551302], [2085, 202.38795771721902], [2093, 191.89002259640915], [2100, 177.93504381133224]]",12,"[3, 4, 5]",False,False,False,True,True,True,True,False,True,True,True,False,True,True,True
214,155,"[[2033, 197.375455512979], [2042, 146.79596780936683], [2050, 203.48108265369208], [2059, 208.8729079506924], [2060, 169.54584234394218], [2074, 158.2144146137679], [2075, 283.465506648086], [2078, 188.12700769694808], [2079, 179.18230144768555], [2085, 152.10561907397044], [2086, 235.5662953699939], [2090, 173.64681131652827], [2094, 192.1163179539705], [2095, 167.11878134266766], [2098, 166.61742698818296]]",15,"[3, 4, 8]",False,True,True,False,True,True,True,False,True,True,True,False,True,True,True
