seed,scenario,label,turn,available_budget_mana,used_mana,remaining_mana,violations,planting_trees_amount,house_migration_amount,dam_levee_construction_cost,paddy_dam_construction_cost,capacity_building_cost,agricultural_RnD_cost
67,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
67,09_flood_neglect,洪水軽視型,2,6.781,6.781,0.0,,4.781,0.0,0.0,0.0,0.0,2.0
67,09_flood_neglect,洪水軽視型,3,4.002,4.002,0.0,,2.002,0.0,0.0,0.0,0.0,2.0
239,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
239,01_no_policy,放置,2,7.396,0.0,7.396,,0.0,0.0,0.0,0.0,0.0,0.0
239,01_no_policy,放置,3,3.555,0.0,3.555,,0.0,0.0,0.0,0.0,0.0,0.0
239,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
239,02_hard_infra,堤防偏重,2,7.585,7.585,0.0,,0.0,0.0,7.585,0.0,0.0,0.0
239,02_hard_infra,堤防偏重,3,4.573,4.573,0.0,,0.0,0.0,0.0,4.573,0.0,0.0
239,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
239,03_nature_based,自然共生偏重,2,7.442,7.442,0.0,,1.442,0.0,0.0,6.0,0.0,0.0
239,03_nature_based,自然共生偏重,3,3.829,3.829,0.0,,0.0,0.0,0.0,3.829,0.0,0.0
239,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
239,04_agri_rnd,農業R&D偏重,2,7.396,7.396,0.0,,5.396,0.0,0.0,0.0,0.0,2.0
239,04_agri_rnd,農業R&D偏重,3,3.76,3.76,0.0,,1.76,0.0,0.0,0.0,0.0,2.0
239,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
239,05_relocation_capacity,移転・防災偏重,2,5.511,5.511,0.0,,0.0,4.511,0.0,0.0,1.0,0.0
239,05_relocation_capacity,移転・防災偏重,3,1.255,1.0,0.255,unused_mana=0.25,0.0,0.0,0.0,0.0,1.0,0.0
239,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
239,06_balanced,バランス型,2,7.59,7.59,0.0,,2.59,0.0,0.0,2.0,1.0,2.0
239,06_balanced,バランス型,3,4.5,4.5,0.0,,0.0,0.0,0.0,1.5,1.0,2.0
239,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
239,07_late_response,後手対応,2,7.396,7.396,0.0,,0.0,0.0,5.0,0.0,1.0,1.396
239,07_late_response,後手対応,3,3.806,3.0,0.806,unused_mana=0.81,0.0,0.0,0.0,0.0,1.0,2.0
239,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
239,08_ecosystem_sacrifice,生態系犠牲型,2,7.585,7.585,0.0,,0.0,0.0,7.585,0.0,0.0,0.0
239,08_ecosystem_sacrifice,生態系犠牲型,3,4.573,4.573,0.0,,0.0,4.573,0.0,0.0,0.0,0.0
239,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
239,09_flood_neglect,洪水軽視型,2,7.396,7.396,0.0,,5.396,0.0,0.0,0.0,0.0,2.0
239,09_flood_neglect,洪水軽視型,3,3.76,3.76,0.0,,1.76,0.0,0.0,0.0,0.0,2.0
333,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,01_no_policy,放置,2,6.965,0.0,6.965,,0.0,0.0,0.0,0.0,0.0,0.0
333,01_no_policy,放置,3,4.462,0.0,4.462,,0.0,0.0,0.0,0.0,0.0,0.0
333,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
333,02_hard_infra,堤防偏重,2,7.101,7.101,0.0,,0.0,0.0,7.101,0.0,0.0,0.0
333,02_hard_infra,堤防偏重,3,5.283,5.283,0.0,,0.0,0.0,5.283,0.0,0.0,0.0
333,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
333,03_nature_based,自然共生偏重,2,7.005,7.005,0.0,,1.005,0.0,0.0,6.0,0.0,0.0
333,03_nature_based,自然共生偏重,3,4.68,4.68,0.0,,0.0,0.0,0.0,4.68,0.0,0.0
333,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
333,04_agri_rnd,農業R&D偏重,2,6.965,6.965,0.0,,4.965,0.0,0.0,0.0,0.0,2.0
333,04_agri_rnd,農業R&D偏重,3,4.652,4.652,0.0,,2.652,0.0,0.0,0.0,0.0,2.0
333,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
333,05_relocation_capacity,移転・防災偏重,2,5.201,5.201,0.0,,0.0,4.201,0.0,0.0,1.0,0.0
333,05_relocation_capacity,移転・防災偏重,3,2.029,2.029,0.0,,0.0,1.029,0.0,0.0,1.0,0.0
333,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
333,06_balanced,バランス型,2,7.119,7.119,0.0,,2.119,0.0,0.0,2.0,1.0,2.0
333,06_balanced,バランス型,3,5.163,5.0,0.163,unused_mana=0.16,0.0,0.0,0.0,2.0,1.0,2.0
333,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
333,07_late_response,後手対応,2,6.965,6.0,0.965,unused_mana=0.96,0.0,0.0,5.0,0.0,1.0,0.0
333,07_late_response,後手対応,3,4.684,4.684,0.0,,0.0,0.0,0.0,1.684,1.0,2.0
333,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
333,08_ecosystem_sacrifice,生態系犠牲型,2,7.101,7.101,0.0,,0.0,0.0,7.101,0.0,0.0,0.0
333,08_ecosystem_sacrifice,生態系犠牲型,3,5.283,5.283,0.0,,0.0,0.0,5.283,0.0,0.0,0.0
333,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
333,09_flood_neglect,洪水軽視型,2,6.965,6.965,0.0,,4.965,0.0,0.0,0.0,0.0,2.0
333,09_flood_neglect,洪水軽視型,3,4.652,4.652,0.0,,2.652,0.0,0.0,0.0,0.0,2.0
334,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
334,01_no_policy,放置,2,6.974,0.0,6.974,,0.0,0.0,0.0,0.0,0.0,0.0
334,01_no_policy,放置,3,4.472,0.0,4.472,,0.0,0.0,0.0,0.0,0.0,0.0
334,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
334,02_hard_infra,堤防偏重,2,7.064,7.064,0.0,,0.0,0.0,7.064,0.0,0.0,0.0
334,02_hard_infra,堤防偏重,3,5.289,5.289,0.0,,0.0,0.0,5.289,0.0,0.0,0.0
334,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
334,03_nature_based,自然共生偏重,2,7.011,7.011,0.0,,1.011,0.0,0.0,6.0,0.0,0.0
334,03_nature_based,自然共生偏重,3,4.681,4.681,0.0,,0.0,0.0,0.0,4.681,0.0,0.0
