seed,scenario,label,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100
20,02_hard_infra,堤防偏重,279470957.0,182440948.6,225047839.4,162173180.5
20,03_nature_based,自然共生偏重,296398844.1,218764454.6,275588494.0,260789254.6
20,04_agri_rnd,農業R&D偏重,301173376.3,230872290.0,273230790.9,243653929.7
20,05_relocation_capacity,移転・防災偏重,288043468.9,166370282.0,265889210.3,259938154.4
20,06_balanced,バランス型,293827657.5,169419351.1,246129662.2,228692952.7
20,07_late_response,後手対応,301173376.3,226257571.8,294796003.6,262997785.7
20,08_ecosystem_sacrifice,生態系犠牲型,279470957.0,182440948.6,225047839.4,162173180.5
20,09_flood_neglect,洪水軽視型,301173376.3,230872290.0,273230790.9,243653929.7
21,01_no_policy,放置,301027353.3,229603515.1,301027353.3,299373391.2
21,02_hard_infra,堤防偏重,277364629.1,181433830.6,223908118.3,189072944.1
21,03_nature_based,自然共生偏重,294606942.5,217561094.0,275254654.8,259880711.4
21,04_agri_rnd,農業R&D偏重,298917520.8,229603515.1,274035892.0,243565464.8
21,05_relocation_capacity,移転・防災偏重,286677483.5,166519647.7,264678441.7,259684393.7
21,06_balanced,バランス型,292001867.7,168873676.1,245169744.9,228559264.3
21,07_late_response,後手対応,298917520.8,226414267.5,293462122.3,253244109.5
21,08_ecosystem_sacrifice,生態系犠牲型,277364629.1,181433830.6,223908118.3,189072944.1
21,09_flood_neglect,洪水軽視型,298917520.8,229603515.1,274035892.0,243565464.8
22,01_no_policy,放置,299523931.4,228325192.2,299523931.4,298181768.9
22,02_hard_infra,堤防偏重,296649654.6,180419216.8,222760796.6,188290455.5
22,03_nature_based,自然共生偏重,292797237.6,216348698.4,274922941.9,258968543.8
22,04_agri_rnd,農業R&D偏重,296649654.6,228325192.2,274855998.8,243484641.6
22,05_relocation_capacity,移転・防災偏重,285291115.5,166247639.4,263194106.4,258206282.2
22,06_balanced,バランス型,290205426.1,168297374.6,244176032.0,228483509.5
22,07_late_response,後手対応,296649654.6,226671917.2,292145499.4,252711383.3
22,08_ecosystem_sacrifice,生態系犠牲型,296649654.6,180419216.8,222760796.6,188290455.5
22,09_flood_neglect,洪水軽視型,296649654.6,228325192.2,274855998.8,243484641.6
23,01_no_policy,放置,508681996.3,227037305.1,272027138.5,508681996.3
23,02_hard_infra,堤防偏重,294369800.7,179397095.0,165544998.5,216933967.8
23,03_nature_based,自然共生偏重,433468361.8,215127252.5,240236705.3,433468361.8
23,04_agri_rnd,農業R&D偏重,392560704.2,227037305.1,233165300.2,392560704.2
23,05_relocation_capacity,移転・防災偏重,367539673.1,165614454.5,215962121.2,367539673.1
23,06_balanced,バランス型,311605294.4,167696961.0,202190683.9,311605294.4
23,07_late_response,後手対応,379106556.7,227037305.1,225867003.4,379106556.7
23,08_ecosystem_sacrifice,生態系犠牲型,294369800.7,179397095.0,165544998.5,216933967.8
23,09_flood_neglect,洪水軽視型,392560704.2,227037305.1,233165300.2,392560704.2
24,01_no_policy,放置,507190093.2,225739838.3,270842271.9,507190093.2
24,02_hard_infra,堤防偏重,292077983.8,178367453.5,164803519.2,216312313.5
24,03_nature_based,自然共生偏重,435615693.0,213896742.1,239982206.4,435615693.0
24,04_agri_rnd,農業R&D偏重,396117151.5,225739838.3,233819982.3,396117151.5
24,05_relocation_capacity,移転・防災偏重,366369168.3,164577137.8,215093957.1,366369168.3
24,06_balanced,バランス型,313716251.2,167066234.5,201428517.7,313716251.2
